id	filename	md5	size	state
42244dbd-10fa-4c42-aa8f-da2f6cdf33fc	TCGA-LGG.cd195673-7373-417f-a34f-10961287acc2.gene_level_copy_number.v36.tsv	0b7b9d40cd8865d238e4340f07d72f86	3446864	released
9a851fec-9f73-4012-b2ae-a0dea239bf3a	TCGA-LGG.f103dcd7-3cf5-4fe2-aa82-ee3801e9cdd6.gene_level_copy_number.v36.tsv	4bd139faed96a997631d01c6a06b463d	3446840	released
5477ca3a-f51d-4747-a197-f41c3323be3b	TCGA-LGG.4b16c12c-30ac-49c0-b95e-f90156659c74.gene_level_copy_number.v36.tsv	a45aea00cbdbf383666aa7a6ffc73817	3446804	released
f61c26cd-c19a-4f77-a769-7f8296c32766	TCGA-LGG.22be238c-3e61-415b-9ab7-29ac607c93a3.gene_level_copy_number.v36.tsv	3d03e74a9a45b524a2c87515baa01086	3447185	released
3271c300-e5aa-4017-8b7a-256fe0baf0cd	TCGA-LGG.5f9958bb-56b5-4c4a-bf40-b812cc0cb88c.gene_level_copy_number.v36.tsv	e72b2caaa75091fba2fe0ed671bac7fe	3446861	released
8b7647af-2516-4bc7-a6f4-a0e68593b88e	TCGA-LGG.d354a92e-4d90-4011-8270-4a3dd4099af3.gene_level_copy_number.v36.tsv	7488a2bf34fd53bb91317b404e560ee1	3446837	released
a3fc5ba8-6e36-407f-9e11-d45be8203d9c	TCGA-LGG.d1d077d1-5296-46e8-ae79-661af0d77e55.gene_level_copy_number.v36.tsv	317689f669382ff80bcb0bfc2efb3a5e	3446867	released
fcd334c5-bae1-426d-9fcf-99196096aaf5	TCGA-LGG.5c2f22a3-e06c-483a-80b4-dd5020d7340a.gene_level_copy_number.v36.tsv	d57b234553e9823a94955f6f962e4286	3446847	released
065c3239-670d-448b-9e55-a4c6d71ac8b2	TCGA-LGG.789cf9ad-519d-4458-8cbc-c178c81f1c0c.gene_level_copy_number.v36.tsv	c30fe9d66fd6032cbcef4eea59dcf825	3446828	released
22103dba-aff1-492a-8051-4da9284a56ff	TCGA-LGG.b914bd00-9bee-46df-9a70-540adabe9449.gene_level_copy_number.v36.tsv	61e277932fc740c468dd1489580c92a1	3446837	released
2b6cc1d7-12e9-4c82-9252-70e65df5afe8	TCGA-LGG.cc8dda5e-2189-4409-ac22-0944c79cb9b1.gene_level_copy_number.v36.tsv	4e7bb6e9535e9ac5e275b7e9b2f35a74	3446753	released
